issue,hundreds,tens,ones
2005216,9,5,1
2005217,9,6,4
2005218,8,9,2
2005219,0,1,3
2005220,1,5,8
2005221,9,8,9
2005222,7,8,8
2005223,8,0,7
2005224,7,9,4
2005225,2,6,0
2005226,6,0,3
2005227,4,5,5
2005228,2,0,9
2005229,1,3,9
2005230,4,8,3
2005231,6,3,0
2005232,1,7,5
2005233,9,3,3
2005234,8,9,0
2005235,1,3,4
2005236,4,9,5
2005237,7,6,7
2005238,0,1,8
2005239,9,0,1
2005240,8,7,1
2005241,1,2,6
2005242,5,9,2
2005243,1,0,3
2005244,3,3,1
2005245,9,7,7
2005246,5,1,9
2005247,5,7,4
2005248,9,0,0
2005249,6,9,2
2005250,4,3,4
2005251,5,0,6
2005252,5,5,7
2005253,1,6,3
2005254,4,2,5
2005255,0,4,1
2005256,7,5,1
2005257,2,8,5
2005258,8,9,4
2005259,3,4,8
2005260,1,5,8
2005261,5,4,2
2005262,2,0,3
2005263,6,1,7
2005264,3,9,3
2005265,3,3,6
2005266,9,5,2
2005267,3,1,6
2005268,9,2,7
2005269,9,4,0
2005270,3,9,6
2005271,5,2,8
2005272,2,9,0
2005273,2,0,9
2005274,2,6,2
2005275,9,2,5
2005276,7,8,3
2005277,0,5,9
2005278,1,4,9
2005279,7,1,4
2005280,0,4,1
2005281,7,6,2
2005282,2,7,1
2005283,2,1,4
2005284,2,2,0
2005285,4,7,8
2005286,5,1,6
2005287,3,3,5
2005288,1,8,5
2005289,0,2,8
2005290,8,2,3
2005291,2,2,7
2005292,4,2,8
2005293,4,5,5
2005294,8,3,3
2005295,9,1,4
2005296,5,3,1
2005297,7,5,3
2005298,7,1,3
2005299,1,3,8
2005300,8,9,5
2005301,6,5,0
2005302,4,5,6
2005303,5,4,0
2005304,3,3,2
2005305,8,0,6
2005306,5,5,0
2005307,5,9,8
2005308,8,6,8
2005309,6,9,9
2005310,2,8,8
2005311,8,0,9
2005312,3,1,3
2005313,7,8,9
2005314,7,0,5
2005315,1,9,8
